frame,system,rom_label,pc,ram_0000_t49,ram_0000_t41,ram_0000_t42,ram_0002_t17,ram_0003_t18,ram_0004_t18,game_mode,screen_ready,ram_script,ram_subscript,ppu_load_index,ram_frm_cnt,cur_save_slot,rendering_flag,ram_004D,ram_next_script,ram_005C,se_ptr_lo,se_ptr_hi,ram_006C_se,ram_00F6,btn_press,btn_hold,scroll_y,scroll_x,ram_for_2001,ram_for_2000,ram_0415,ram_041A,ram_041F,ram_0421,ram_0423,spr_index_1,spr_index_2,ram_042D,ram_042E,ram_00E7,ram_map_location,ram_next_map_location,ram_0528,ram_05F1,ram_05F4,ram_05F5,ram_music,ram_music_busy,ram_060A,ram_060B,ram_060C,ram_060D,ram_0611,ram_0612,ram_0613,ram_0616,ram_0617,ram_0619,ram_061B,ppu_buf_status,ppu_buf_index,ppu_buf_0,ppu_buf_1,ppu_buf_2,ppu_buf_3,ppu_buf_4,ppu_buf_5,ppu_buf_6,ppu_buf_7,pal_sh_00,pal_sh_01,pal_sh_02,pal_sh_03,pal_sh_04,pal_sh_05,pal_sh_06,pal_sh_07,trace_last,trace_seq,PPU_REQ_INDEX,PPU_REQ_PTR,PPU_REQ_RES,SEQ_EVT_COUNT,PPU_EVT_COUNT,reg_d0,reg_d1,reg_d2,reg_d3,reg_d4,reg_d5,reg_d6,reg_d7,reg_a0,reg_a1,reg_a2,reg_a3,reg_a4,reg_a5,reg_a6,reg_a7,reg_sr
243,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
244,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
245,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
246,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
247,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
248,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
249,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
250,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
251,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
252,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
253,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
254,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
255,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
256,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
257,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
258,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
259,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
260,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
261,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
262,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
263,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
264,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
265,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
266,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
267,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
268,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
269,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
270,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
271,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
272,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
273,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
274,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
275,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
276,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
277,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
278,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
279,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
280,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
281,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
282,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
283,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
284,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
285,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
286,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
287,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
288,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
289,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
290,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
291,genesis,zelda_v336,1000402,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0000,0000,0000,0000,00000000,0000,0000,000000FC,00000000,000000FF,00000000,00000000,00000000,00000000,0000FFFF,00FFEE30,33FC0022,00000000,00000000,00000000,00000000,00000000,33FC0002,2710
